Region,Latitude (generated),Longitude (generated)
Zimbabwe,-19.098,30.047
Zambia,-15.13,25.268
Yemen,15.569,47.793
"Virgin Islands, US",17.7289,-64.7592
"Virgin Islands, British",18.4204,-64.64
Vietnam,21.75,105.373
Venezuela,6.983,-64.588
Vanuatu,-15.339,166.89
Uzbekistan,41.757,63.958
USA,40.0792,-98.8164
Uruguay,-32.948,-56.249
United Arab Emirates,23.9299,53.9031
Ukraine,49.364,32.132
UK,52.289,-1.259
Uganda,1.9392,32.7415
Turkmenistan,39.584,59.597
Turkey,39.144,34.188
Tunisia,35.594,9.421
Trinidad,10.4435,-61.2604
Tonga,-21.167,-175.19
Togo,7.7,1.106
Timor-Leste,-8.856,125.556
Thailand,15.688,100.845
Tanzania,-5.651,34.146
Tajikistan,38.367,72.597
Taiwan,23.6091,120.8353
Syria,35.303,38.322
Switzerland,46.7794,8.0329
Sweden,66.2188,19
Swaziland,-26.5203,31.4607
Suriname,4.248,-55.848
Sudan,15.739,29.533
Sri Lanka,7.3,80.727
Spain,40.617,-3.388
South Sudan,7.1,30.48
South Korea,36.338,128.16
South Africa,-31.7,23.441
Somalia,2.875,43.446
Solomon Islands,-9.5987,160.1487
Slovenia,46.037,14.534
Slovakia,48.8595,19.4434
Singapore,1.3389,103.8297
Sierra Leone,8.677,-11.779
Seychelles,-4.6841,55.4924
Serbia,44.021,20.699
Senegal,15.044,-15.081
Saudi Arabia,24.191,44.32
Sao Tome and Principe,0.216,6.595
San Marino,43.942,12.4611
Samoa,-13.6221,-172.439
Saint Vincent,13.2528,-61.1949
Saint Lucia,13.909,-60.9776
Saint Kitts,,
Rwanda,-1.887,29.904
Russia,64.736,104.062
Romania,45.933,25.119
Republic of Congo,0.509,16.08
Qatar,25.3174,51.1522
Puerto Rico,18.242,-66.643
Portugal,40.957,-7.9373
Poland,52.442,19.72
Philippines,17.181,121.256
Peru,-12.664,-72.98
Paraguay,-23.266,-58.409
Papua New Guinea,-5.636,142.798
Panama,8.348,-81.005
Palestine,32.097,35.26
Palau,7.5288,134.5573
Pakistan,28.1854,66.6429
Oman,19.85,56.25
Norway,61.3701,9.3031
North Korea,39.767,126.389
Nigeria,9.3417,7.678
Niger,16.996,9.915
Nicaragua,12.692,-85.03
New Zealand,-42.558,172.377
Netherlands,52.1704,5.0102
Nepal,28.2114,83.5608
Nauru,-0.5287,166.9315
Namibia,-21.276,17.219
NA,-21.276,17.219
Myanmar,21.841,96.05
Mozambique,-13.852,38.042
Morocco,31.129,-7.355
Montenegro,42.857,19.096
Mongolia,46.516,102.564
Monaco,43.7384,7.4243
Moldova,47.524,28.444
Micronesia,7.531,150.457
Mexico,22.925,-101.68
Mauritius,-20.2529,57.5902
Mauritania,19.413,-10.6528
Marshall Islands,5.961,169.651
Malta,35.9024,14.4137
Mali,18.211,-2.209
Maldives,4.221,73.463
Malaysia,4.416,102.099
Malawi,-13.2731,33.7428
Madagascar,-19.615,46.645
