,region,year,athelets_total,medals_total,gdppc_by_year
1162,Netherlands,1890.0,0.0,0.0,3323.0
1163,Finland,1890.0,0.0,0.0,1381.0
1164,Norway,1890.0,0.0,0.0,1709.0
1165,Romania,1890.0,0.0,0.0,1246.0
1166,Estonia,1890.0,0.0,0.0,1139.0
1167,France,1890.0,0.0,0.0,2376.0
1168,Morocco,1890.0,0.0,0.0,631.37207
1169,Spain,1890.0,0.0,0.0,1624.0
1170,Egypt,1890.0,0.0,0.0,766.67444
1171,Iran,1890.0,0.0,0.0,849.69769
1172,Bulgaria,1890.0,0.0,0.0,1131.0
1173,Italy,1890.0,0.0,0.0,1667.0
1174,Sudan,1890.0,0.0,0.0,567.33331
1175,Russia,1890.0,0.0,0.0,1139.0
1176,Argentina,1890.0,0.0,0.0,2152.0
1177,Cuba,1890.0,0.0,0.0,680.66669
1178,Greece,1890.0,0.0,0.0,1178.0
1179,Cameroon,1890.0,0.0,0.0,567.33331
1180,Turkey,1890.0,0.0,0.0,1005.4651
1181,Chile,1890.0,0.0,0.0,1966.0
1182,Mexico,1890.0,0.0,0.0,1011.0
1183,United States of America,1890.0,13.0,12.0,3392.0
1184,Nicaragua,1890.0,0.0,0.0,680.66669
1185,Hungary,1890.0,0.0,0.0,1473.0
1186,Nigeria,1890.0,0.0,0.0,567.33331
1187,Algeria,1890.0,0.0,0.0,923.37207
1188,Kuwait,1890.0,0.0,0.0,881.53491
1189,Bahrain,1890.0,0.0,0.0,881.53491
1190,Pakistan,1890.0,0.0,0.0,587.33331
1191,Iraq,1890.0,0.0,0.0,849.69769
1192,Syria,1890.0,0.0,0.0,1079.3489
1193,Qatar,1890.0,0.0,0.0,881.53491
1194,Malaysia,1890.0,0.0,0.0,730.31708
1195,Germany,1890.0,22.0,6.0,2428.0
1196,Canada,1890.0,0.0,0.0,2378.0
1197,Ireland,1890.0,0.0,0.0,2221.9768
1198,Australia,1890.0,0.0,0.0,4458.0
1199,South Africa,1890.0,0.0,0.0,1204.0465
1200,Tanzania,1890.0,0.0,0.0,567.33331
1201,Jordan,1890.0,0.0,0.0,849.16278
1202,Tunisia,1890.0,0.0,0.0,749.27905
1203,Libya,1890.0,0.0,0.0,847.54901
1204,Belgium,1890.0,0.0,0.0,3428.0
1205,Kazakhstan,1890.0,0.0,0.0,1139.0
1206,Brunei,1890.0,0.0,0.0,635.93024
1207,India,1890.0,0.0,0.0,584.0
1208,Saudi Arabia,1890.0,0.0,0.0,881.53491
1209,Maldives,1890.0,0.0,0.0,635.93024
1210,Ethiopia,1890.0,0.0,0.0,567.33331
1211,United Arab Emirates,1890.0,0.0,0.0,881.53491
1212,Yemen,1890.0,0.0,0.0,881.53491
1213,Indonesia,1890.0,0.0,0.0,612.0
1214,Philippines,1890.0,0.0,0.0,654.625
1215,Kyrgyzstan,1890.0,0.0,0.0,1139.0
1216,Tajikistan,1890.0,0.0,0.0,1139.0
1217,Japan,1890.0,0.0,0.0,1012.0
1218,Congo,1890.0,0.0,0.0,567.33331
1219,Switzerland,1890.0,0.0,0.0,3182.0
1220,Brazil,1890.0,0.0,0.0,794.0
1221,Israel,1890.0,0.0,0.0,881.53491
1222,Uruguay,1890.0,0.0,0.0,2147.0
1223,Sweden,1890.0,0.0,0.0,1769.0
1224,Sri Lanka,1890.0,0.0,0.0,1045.0
1225,Armenia,1890.0,0.0,0.0,1139.0
1226,Ivory Coast,1890.0,0.0,0.0,567.33331
1227,Kenya,1890.0,0.0,0.0,567.33331
1228,Benin,1890.0,0.0,0.0,567.33331
1229,United Kingdom,1890.0,5.0,2.0,4009.0
1230,Ghana,1890.0,0.0,0.0,598.06976
1231,Niger,1890.0,0.0,0.0,567.33331
1232,Mali,1890.0,0.0,0.0,567.33331
1233,Afghanistan,1890.0,0.0,0.0,635.93024
1234,Poland,1890.0,0.0,0.0,1284.0
1235,Costa Rica,1890.0,0.0,0.0,680.66669
1236,Panama,1890.0,0.0,0.0,680.66669
1237,Slovenia,1890.0,0.0,0.0,1490.6072
1238,Guyana,1890.0,0.0,0.0,746.33331
1239,New Zealand,1890.0,0.0,0.0,3755.0
1240,Portugal,1890.0,0.0,0.0,1128.0
1241,Paraguay,1890.0,0.0,0.0,680.66669
1242,Angola,1890.0,0.0,0.0,567.33331
1243,Venezuela,1890.0,0.0,0.0,737.0
1244,Colombia,1890.0,0.0,0.0,896.0
1245,Bangladesh,1890.0,0.0,0.0,587.33331
1246,Peru,1890.0,0.0,0.0,599.69232
1247,El Salvador,1890.0,0.0,0.0,680.66669
1248,Uganda,1890.0,0.0,0.0,567.33331
1249,Honduras,1890.0,0.0,0.0,680.66669
1250,Ecuador,1890.0,0.0,0.0,680.66669
1251,Mauritius,1890.0,0.0,0.0,567.33331
1252,Czechia,1890.0,0.0,0.0,1910.428
1253,Luxembourg,1890.0,0.0,0.0,2028.0
1254,Mauritania,1890.0,0.0,0.0,567.33331
1255,Trinidad and Tobago,1890.0,0.0,0.0,680.66669
1256,Dominican Rep.,1890.0,0.0,0.0,680.66669
1257,Jamaica,1890.0,0.0,0.0,568.95349
1258,Liberia,1890.0,0.0,0.0,567.33331
1259,Nepal,1890.0,0.0,0.0,463.04651
1260,Mongolia,1890.0,0.0,0.0,635.93024
1261,Austria,1890.0,0.0,0.0,2443.0
1262,Lithuania,1890.0,0.0,0.0,1139.0
1263,Togo,1890.0,0.0,0.0,567.33331
1264,Namibia,1890.0,0.0,0.0,567.33331
1265,Ukraine,1890.0,0.0,0.0,1139.0
1266,Iceland,1890.0,0.0,0.0,2028.0
1267,Rwanda,1890.0,0.0,0.0,567.33331
1268,Croatia,1890.0,0.0,0.0,1254.0
1269,Haiti,1890.0,0.0,0.0,680.66669
1270,Malta,1890.0,0.0,0.0,2028.0
1271,Cyprus,1890.0,0.0,0.0,2028.0
1272,Belize,1890.0,0.0,0.0,746.33331
1273,Thailand,1890.0,0.0,0.0,784.0
1274,Serbia,1890.0,0.0,0.0,1254.0
1275,Sierra Leone,1890.0,0.0,0.0,567.33331
1276,Papua New Guinea,1890.0,0.0,0.0,635.93024
1277,Fiji,1890.0,0.0,0.0,635.93024
1278,Moldova,1890.0,0.0,0.0,1139.0
1279,Guatemala,1890.0,0.0,0.0,680.66669
1280,Latvia,1890.0,0.0,0.0,1139.0
1281,Mozambique,1890.0,0.0,0.0,567.33331
1282,Central African Rep.,1890.0,0.0,0.0,567.33331
1283,Madagascar,1890.0,0.0,0.0,567.33331
1284,Slovakia,1890.0,0.0,0.0,2193.1736
1285,Barbados,1890.0,0.0,0.0,746.33331
1286,Dem. Rep. Congo,1890.0,0.0,0.0,567.33331
1287,Gabon,1890.0,0.0,0.0,567.33331
1288,Botswana,1890.0,0.0,0.0,567.33331
1289,South Korea,1890.0,0.0,0.0,706.92682
1290,Cambodia,1890.0,0.0,0.0,635.93024
1291,Senegal,1890.0,0.0,0.0,567.33331
1292,Bolivia,1890.0,0.0,0.0,680.66669
1293,Zimbabwe,1890.0,0.0,0.0,567.33331
1294,Myanmar,1890.0,0.0,0.0,629.80646
1295,Malawi,1890.0,0.0,0.0,567.33331
1296,Zambia,1890.0,0.0,0.0,567.33331
1297,Gambia,1890.0,0.0,0.0,567.33331
1298,Albania,1890.0,0.0,0.0,598.0
1299,eSwatini,1890.0,0.0,0.0,567.33331
1300,Burkina Faso,1890.0,0.0,0.0,567.33331
1301,Burundi,1890.0,0.0,0.0,567.33331
1302,Vietnam,1890.0,0.0,0.0,608.2558
1303,Tonga,1890.0,0.0,0.0,635.93024
1304,Lesotho,1890.0,0.0,0.0,567.33331
1305,China,1980.0,928.0,126.0,1061.0
1306,Denmark,1980.0,264.0,28.0,15227.0
1307,Netherlands,1980.0,485.0,90.0,14705.0
1308,Finland,1980.0,333.0,25.0,12949.0
1309,Norway,1980.0,208.0,26.0,15076.0
1310,Romania,1980.0,702.0,232.0,4135.0
1311,Estonia,1980.0,0.0,0.0,9547.6475
1312,France,1980.0,948.0,125.0,14766.0
1313,Morocco,1980.0,48.0,5.0,2272.0
1314,Spain,1980.0,776.0,48.0,9203.0
1315,Egypt,1980.0,182.0,1.0,2069.0
1316,Iran,1980.0,26.0,1.0,3974.0
1317,Bulgaria,1980.0,669.0,130.0,6044.0
1318,Italy,1980.0,926.0,129.0,13149.0
1319,Sudan,1980.0,10.0,0.0,931.0
1320,Russia,1980.0,1301.0,737.0,7074.8823
1321,Argentina,1980.0,247.0,13.0,8206.0
1322,Cuba,1980.0,287.0,20.0,2644.0
1323,Greece,1980.0,183.0,8.0,8971.0
1324,Cameroon,1980.0,60.0,1.0,1192.0
1325,Turkey,1980.0,111.0,5.0,4022.0
1326,Chile,1980.0,45.0,1.0,5680.0
1327,Mexico,1980.0,372.0,18.0,6320.0
1328,United States of America,1980.0,1401.0,559.0,18577.0
1329,Nicaragua,1980.0,11.0,0.0,2154.0
1330,Hungary,1980.0,706.0,105.0,6306.0
1331,Nigeria,1980.0,124.0,5.0,1305.0
1332,Algeria,1980.0,119.0,0.0,3152.0
1333,Kuwait,1980.0,98.0,0.0,13271.0
1334,Bahrain,1980.0,15.0,0.0,4388.0
1335,Pakistan,1980.0,62.0,16.0,1161.0
1336,Iraq,1980.0,31.0,0.0,6377.0
1337,Syria,1980.0,25.0,0.0,6508.0
1338,Qatar,1980.0,22.0,0.0,28771.0
1339,Malaysia,1980.0,40.0,0.0,3657.0
1340,Germany,1980.0,1984.0,718.0,14114.0
1341,Canada,1980.0,1063.0,107.0,16176.0
1342,Ireland,1980.0,185.0,4.0,8541.0
1343,Australia,1980.0,851.0,100.0,14412.0
1344,South Africa,1980.0,0.0,0.0,4390.0
1345,Tanzania,1980.0,69.0,2.0,601.0
1346,Jordan,1980.0,26.0,0.0,4480.0
1347,Tunisia,1980.0,73.0,0.0,2944.0
1348,Libya,1980.0,3.0,0.0,7272.0
1349,Belgium,1980.0,250.0,8.0,14467.0
1350,Kazakhstan,1980.0,0.0,0.0,7556.2354
1351,Brunei,1980.0,0.0,0.0,2522.0
1352,India,1980.0,162.0,16.0,938.0
1353,Saudi Arabia,1980.0,27.0,0.0,13217.0
1354,Maldives,1980.0,9.0,0.0,2522.0
1355,Ethiopia,1980.0,48.0,4.0,648.0
1356,United Arab Emirates,1980.0,19.0,0.0,27709.0
1357,Yemen,1980.0,12.0,0.0,2290.0
1358,Indonesia,1980.0,65.0,3.0,1870.0
1359,Philippines,1980.0,73.0,1.0,2376.0
1360,Kyrgyzstan,1980.0,0.0,0.0,3675.5293
1361,Tajikistan,1980.0,0.0,0.0,3649.4707
1362,Japan,1980.0,770.0,69.0,13428.0
1363,Congo,1980.0,30.0,0.0,2324.0
1364,Switzerland,1980.0,482.0,23.0,18779.0
1365,Brazil,1980.0,565.0,64.0,5195.0
1366,Israel,1980.0,94.0,0.0,10984.0
1367,Uruguay,1980.0,41.0,0.0,6555.0
1368,Sweden,1980.0,695.0,69.0,15016.0
1369,Sri Lanka,1980.0,19.0,0.0,1830.0
1370,Armenia,1980.0,0.0,0.0,6116.5884
1371,Ivory Coast,1980.0,20.0,1.0,2041.0
1372,Kenya,1980.0,127.0,11.0,1051.0
1373,Benin,1980.0,20.0,0.0,1128.0
1374,United Kingdom,1980.0,1302.0,172.0,12931.0
1375,Ghana,1980.0,47.0,0.0,1157.0
1376,Niger,1980.0,2.0,0.0,810.0
1377,Mali,1980.0,7.0,0.0,733.0
1378,Afghanistan,1980.0,11.0,0.0,690.0
1379,Poland,1980.0,610.0,71.0,5740.0
1380,Costa Rica,1980.0,84.0,1.0,4911.0
1381,Panama,1980.0,17.0,0.0,5082.0
1382,Slovenia,1980.0,0.0,0.0,9160.1709
1383,Guyana,1980.0,30.0,1.0,5935.0
1384,New Zealand,1980.0,266.0,46.0,12347.0
1385,Portugal,1980.0,156.0,4.0,8044.0
1386,Paraguay,1980.0,22.0,0.0,3301.0
1387,Angola,1980.0,43.0,0.0,961.0
1388,Venezuela,1980.0,99.0,4.0,10139.0
1389,Colombia,1980.0,123.0,2.0,4257.0
1390,Bangladesh,1980.0,13.0,0.0,549.0
1391,Peru,1980.0,108.0,13.0,4263.0
1392,El Salvador,1980.0,21.0,0.0,2354.0
1393,Uganda,1980.0,71.0,1.0,572.0
1394,Honduras,1980.0,21.0,0.0,2062.0
1395,Ecuador,1980.0,43.0,0.0,4129.0
1396,Mauritius,1980.0,18.0,0.0,4367.0
1397,Czechia,1980.0,541.0,61.0,8468.6406
1398,Luxembourg,1980.0,19.0,0.0,10436.0
1399,Mauritania,1980.0,8.0,0.0,1009.0
1400,Trinidad and Tobago,1980.0,48.0,0.0,12380.0
1401,Dominican Rep.,1980.0,19.0,0.0,2372.0
1402,Jamaica,1980.0,154.0,17.0,3121.0
1403,Liberia,1980.0,17.0,0.0,1162.0
1404,Nepal,1980.0,21.0,0.0,652.0
1405,Mongolia,1980.0,89.0,5.0,1058.0
1406,Austria,1980.0,316.0,9.0,13759.0
1407,Lithuania,1980.0,0.0,0.0,8033.5884
1408,Togo,1980.0,11.0,0.0,1097.0
1409,Namibia,1980.0,0.0,0.0,3767.0
1410,Ukraine,1980.0,0.0,0.0,5378.1763
1411,Iceland,1980.0,86.0,1.0,10436.0
1412,Rwanda,1980.0,11.0,0.0,952.0
1413,Croatia,1980.0,0.0,0.0,5786.0
1414,Haiti,1980.0,6.0,0.0,1268.0
1415,Malta,1980.0,23.0,0.0,10436.0
1416,Cyprus,1980.0,38.0,0.0,10436.0
1417,Belize,1980.0,26.0,0.0,5935.0
1418,Thailand,1980.0,53.0,2.0,2554.0
1419,Serbia,1980.0,515.0,206.0,5786.0
1420,Sierra Leone,1980.0,51.0,0.0,1116.0
1421,Papua New Guinea,1980.0,24.0,0.0,2522.0
1422,Fiji,1980.0,67.0,0.0,2522.0
1423,Moldova,1980.0,0.0,0.0,5696.4707
1424,Guatemala,1980.0,100.0,0.0,4005.0
1425,Latvia,1980.0,0.0,0.0,8698.3525
1426,Mozambique,1980.0,18.0,0.0,1220.0
1427,Central African Rep.,1980.0,18.0,0.0,737.0
1428,Madagascar,1980.0,22.0,0.0,1054.0
1429,Slovakia,1980.0,0.0,0.0,7816.4419
1430,Barbados,1980.0,38.0,0.0,5935.0
1431,Dem. Rep. Congo,1980.0,16.0,0.0,598.0
1432,Gabon,1980.0,6.0,0.0,6777.0
1433,Botswana,1980.0,26.0,0.0,1765.0
1434,South Korea,1980.0,789.0,118.0,4114.0
1435,Cambodia,1980.0,0.0,0.0,828.0
1436,Senegal,1980.0,82.0,1.0,1268.0
1437,Bolivia,1980.0,23.0,0.0,2572.0
1438,Zimbabwe,1980.0,118.0,15.0,1295.0
1439,Myanmar,1980.0,6.0,0.0,828.0
1440,Malawi,1980.0,44.0,0.0,630.0
1441,Zambia,1980.0,53.0,0.0,911.0
1442,Gambia,1980.0,17.0,0.0,1039.0
1443,Albania,1980.0,0.0,0.0,2347.0
1444,eSwatini,1980.0,20.0,0.0,2397.0
1445,Burkina Faso,1980.0,4.0,0.0,731.0
1446,Burundi,1980.0,0.0,0.0,603.0
1447,Vietnam,1980.0,50.0,0.0,757.0
1448,Tonga,1980.0,7.0,0.0,2522.0
1449,Lesotho,1980.0,18.0,0.0,1005.0
1450,China,1930.0,13.0,0.0,568.0
1451,Denmark,1930.0,2.0,0.0,5341.0
1452,Netherlands,1930.0,19.0,2.0,5603.0
1453,Finland,1930.0,138.0,38.0,2666.0
1454,Norway,1930.0,13.0,0.0,3627.0
1455,Romania,1930.0,0.0,0.0,1219.0
1456,Estonia,1930.0,16.0,3.0,1448.0
1457,France,1930.0,73.0,13.0,4532.0
1458,Morocco,1930.0,0.0,0.0,1052.2972
1459,Spain,1930.0,0.0,0.0,2620.0
1460,Egypt,1930.0,3.0,0.0,905.67566
1461,Iran,1930.0,0.0,0.0,1330.8108
1462,Bulgaria,1930.0,0.0,0.0,1284.0
1463,Italy,1930.0,45.0,26.0,2918.0
1464,Sudan,1930.0,0.0,0.0,747.81482
1465,Russia,1930.0,0.0,0.0,1448.0
1466,Argentina,1930.0,18.0,1.0,4080.0
1467,Cuba,1930.0,0.0,0.0,1505.0
1468,Greece,1930.0,3.0,0.0,2258.0
1469,Cameroon,1930.0,0.0,0.0,747.81482
1470,Turkey,1930.0,0.0,0.0,1249.0
1471,Chile,1930.0,7.0,0.0,2859.0
1472,Mexico,1930.0,5.0,0.0,1618.0
1473,United States of America,1930.0,239.0,109.0,6213.0
1474,Nicaragua,1930.0,0.0,0.0,1415.0
1475,Hungary,1930.0,37.0,5.0,2404.0
1476,Nigeria,1930.0,0.0,0.0,747.81482
1477,Algeria,1930.0,0.0,0.0,1255.8108
1478,Kuwait,1930.0,0.0,0.0,13831.514
1479,Bahrain,1930.0,0.0,0.0,1529.9459
1480,Pakistan,1930.0,0.0,0.0,661.91895
1481,Iraq,1930.0,0.0,0.0,1167.2433
1482,Syria,1930.0,0.0,0.0,1836.5676
1483,Qatar,1930.0,0.0,0.0,14524.838
1484,Malaysia,1930.0,0.0,0.0,1636.0
1485,Germany,1930.0,141.0,35.0,3973.0
1486,Canada,1930.0,65.0,21.0,4811.0
1487,Ireland,1930.0,3.0,2.0,2897.0
1488,Australia,1930.0,10.0,3.0,4708.0
1489,South Africa,1930.0,13.0,1.0,2030.6757
1490,Tanzania,1930.0,0.0,0.0,747.81482
1491,Jordan,1930.0,0.0,0.0,1304.6216
1492,Tunisia,1930.0,0.0,0.0,989.5946
1493,Libya,1930.0,0.0,0.0,853.84967
1494,Belgium,1930.0,7.0,0.0,4979.0
1495,Kazakhstan,1930.0,0.0,0.0,1448.0
1496,Brunei,1930.0,0.0,0.0,1042.8379
1497,India,1930.0,1.0,0.0,726.0
1498,Saudi Arabia,1930.0,0.0,0.0,1588.2972
1499,Maldives,1930.0,0.0,0.0,1042.8379
1500,Ethiopia,1930.0,0.0,0.0,747.81482
1501,United Arab Emirates,1930.0,0.0,0.0,7821.7837
1502,Yemen,1930.0,0.0,0.0,981.81079
1503,Indonesia,1930.0,0.0,0.0,1141.0
1504,Philippines,1930.0,7.0,2.0,1382.0
1505,Kyrgyzstan,1930.0,0.0,0.0,1448.0
1506,Tajikistan,1930.0,0.0,0.0,1448.0
1507,Japan,1930.0,58.0,15.0,1850.0
1508,Congo,1930.0,0.0,0.0,747.81482
1509,Switzerland,1930.0,15.0,2.0,6246.0
1510,Brazil,1930.0,8.0,0.0,1048.0
1511,Israel,1930.0,0.0,0.0,1857.5405
1512,Uruguay,1930.0,0.0,0.0,4301.0
1513,Sweden,1930.0,50.0,4.0,4306.0
1514,Sri Lanka,1930.0,0.0,0.0,1265.0
1515,Armenia,1930.0,0.0,0.0,1448.0
1516,Ivory Coast,1930.0,0.0,0.0,747.81482
1517,Kenya,1930.0,0.0,0.0,747.81482
1518,Benin,1930.0,0.0,0.0,747.81482
1519,United Kingdom,1930.0,58.0,21.0,5441.0
1520,Ghana,1930.0,0.0,0.0,937.67566
1521,Niger,1930.0,0.0,0.0,747.81482
1522,Mali,1930.0,0.0,0.0,747.81482
1523,Afghanistan,1930.0,0.0,0.0,702.83783
1524,Poland,1930.0,107.0,27.0,1994.0
1525,Costa Rica,1930.0,0.0,0.0,1626.0
1526,Panama,1930.0,0.0,0.0,1609.0938
1527,Slovenia,1930.0,0.0,0.0,2298.4031
1528,Guyana,1930.0,0.0,0.0,1798.4054
1529,New Zealand,1930.0,6.0,1.0,4960.0
1530,Portugal,1930.0,2.0,1.0,1571.0
1531,Paraguay,1930.0,0.0,0.0,1597.6923
1532,Angola,1930.0,0.0,0.0,747.81482
1533,Venezuela,1930.0,0.0,0.0,3444.0
1534,Colombia,1930.0,0.0,0.0,1474.0
1535,Bangladesh,1930.0,0.0,0.0,614.5946
1536,Peru,1930.0,2.0,0.0,1663.0
1537,El Salvador,1930.0,0.0,0.0,1045.0
1538,Uganda,1930.0,0.0,0.0,747.81482
1539,Honduras,1930.0,0.0,0.0,1563.0
1540,Ecuador,1930.0,0.0,0.0,1209.9615
1541,Mauritius,1930.0,0.0,0.0,747.81482
1542,Czechia,1930.0,30.0,4.0,2435.1345
1543,Luxembourg,1930.0,22.0,0.0,3291.0
1544,Mauritania,1930.0,0.0,0.0,747.81482
1545,Trinidad and Tobago,1930.0,0.0,0.0,2249.1353
1546,Dominican Rep.,1930.0,0.0,0.0,1032.9459
1547,Jamaica,1930.0,0.0,0.0,855.52002
1548,Liberia,1930.0,0.0,0.0,747.81482
1549,Nepal,1930.0,0.0,0.0,519.24323
1550,Mongolia,1930.0,0.0,0.0,606.35138
1551,Austria,1930.0,13.0,0.0,3586.0
1552,Lithuania,1930.0,0.0,0.0,1448.0
1553,Togo,1930.0,0.0,0.0,747.81482
1554,Namibia,1930.0,0.0,0.0,747.81482
1555,Ukraine,1930.0,0.0,0.0,1448.0
1556,Iceland,1930.0,0.0,0.0,3291.0
1557,Rwanda,1930.0,0.0,0.0,747.81482
1558,Croatia,1930.0,0.0,0.0,1944.4546
1559,Haiti,1930.0,2.0,0.0,1041.7188
1560,Malta,1930.0,0.0,0.0,3291.0
1561,Cyprus,1930.0,0.0,0.0,3291.0
1562,Belize,1930.0,0.0,0.0,1798.4054
1563,Thailand,1930.0,0.0,0.0,796.66669
1564,Serbia,1930.0,21.0,0.0,1944.4546
1565,Sierra Leone,1930.0,0.0,0.0,747.81482
1566,Papua New Guinea,1930.0,0.0,0.0,1042.8379
1567,Fiji,1930.0,0.0,0.0,1042.8379
1568,Moldova,1930.0,0.0,0.0,1448.0
1569,Guatemala,1930.0,0.0,0.0,1776.0
1570,Latvia,1930.0,1.0,0.0,1448.0
1571,Mozambique,1930.0,0.0,0.0,747.81482
1572,Central African Rep.,1930.0,0.0,0.0,747.81482
1573,Madagascar,1930.0,0.0,0.0,747.81482
1574,Slovakia,1930.0,0.0,0.0,2795.5381
1575,Barbados,1930.0,0.0,0.0,1798.4054
1576,Dem. Rep. Congo,1930.0,0.0,0.0,747.81482
1577,Gabon,1930.0,0.0,0.0,747.81482
1578,Botswana,1930.0,0.0,0.0,747.81482
1579,South Korea,1930.0,0.0,0.0,1049.0
1580,Cambodia,1930.0,0.0,0.0,627.94592
1581,Senegal,1930.0,0.0,0.0,747.81482
1582,Bolivia,1930.0,0.0,0.0,1384.375
1583,Zimbabwe,1930.0,0.0,0.0,747.81482
1584,Myanmar,1930.0,0.0,0.0,884.40002
1585,Malawi,1930.0,0.0,0.0,747.81482
1586,Zambia,1930.0,0.0,0.0,747.81482
1587,Gambia,1930.0,0.0,0.0,747.81482
1588,Albania,1930.0,0.0,0.0,929.57141
1589,eSwatini,1930.0,0.0,0.0,747.81482
1590,Burkina Faso,1930.0,0.0,0.0,747.81482
1591,Burundi,1930.0,0.0,0.0,747.81482
1592,Vietnam,1930.0,0.0,0.0,695.2973
1593,Tonga,1930.0,0.0,0.0,1042.8379
1594,Lesotho,1930.0,0.0,0.0,747.81482
1595,China,1950.0,5.0,0.0,448.0
1596,Denmark,1950.0,27.0,4.0,6943.0
1597,Netherlands,1950.0,12.0,1.0,5996.0
1598,Finland,1950.0,395.0,53.0,4253.0
1599,Norway,1950.0,36.0,5.0,5430.0
1600,Romania,1950.0,80.0,13.0,1182.0
1601,Estonia,1950.0,0.0,0.0,2841.0
1602,France,1950.0,202.0,28.0,5186.0
1603,Morocco,1950.0,0.0,0.0,1455.0
1604,Spain,1950.0,9.0,1.0,2189.0
1605,Egypt,1950.0,0.0,0.0,910.0
1606,Iran,1950.0,6.0,4.0,1720.0
1607,Bulgaria,1950.0,85.0,7.0,1651.0
1608,Italy,1950.0,142.0,25.0,3502.0
1609,Sudan,1950.0,0.0,0.0,821.0
1610,Russia,1950.0,302.0,105.0,2841.0
1611,Argentina,1950.0,56.0,3.0,4987.0
1612,Cuba,1950.0,21.0,0.0,2046.0
1613,Greece,1950.0,19.0,1.0,1915.0
1614,Cameroon,1950.0,0.0,0.0,671.0
1615,Turkey,1950.0,19.0,3.0,1623.0
1616,Chile,1950.0,26.0,2.0,3670.0
1617,Mexico,1950.0,27.0,0.0,2365.0
1618,United States of America,1950.0,617.0,201.0,9561.0
1619,Nicaragua,1950.0,0.0,0.0,1616.0
1620,Hungary,1950.0,145.0,55.0,2480.0
1621,Nigeria,1950.0,2.0,0.0,753.0
1622,Algeria,1950.0,0.0,0.0,1365.0
1623,Kuwait,1950.0,0.0,0.0,28878.0
1624,Bahrain,1950.0,0.0,0.0,2104.0
1625,Pakistan,1950.0,32.0,10.0,643.0
1626,Iraq,1950.0,0.0,0.0,1364.0
1627,Syria,1950.0,0.0,0.0,2409.0
1628,Qatar,1950.0,0.0,0.0,30387.0
1629,Malaysia,1950.0,1.0,0.0,1559.0
1630,Germany,1950.0,178.0,46.0,3881.0
1631,Canada,1950.0,60.0,11.0,7291.0
1632,Ireland,1950.0,25.0,1.0,3453.0
1633,Australia,1950.0,152.0,37.0,7412.0
1634,South Africa,1950.0,22.0,3.0,2535.0
1635,Tanzania,1950.0,0.0,0.0,424.0
1636,Jordan,1950.0,0.0,0.0,1663.0
1637,Tunisia,1950.0,0.0,0.0,1115.0
1638,Libya,1950.0,0.0,0.0,857.0
1639,Belgium,1950.0,62.0,2.0,5462.0
1640,Kazakhstan,1950.0,0.0,0.0,2841.0
1641,Brunei,1950.0,0.0,0.0,1385.0
1642,India,1950.0,16.0,7.0,619.0
1643,Saudi Arabia,1950.0,0.0,0.0,2231.0
1644,Maldives,1950.0,0.0,0.0,1385.0
1645,Ethiopia,1950.0,10.0,0.0,390.0
1646,United Arab Emirates,1950.0,0.0,0.0,15798.0
1647,Yemen,1950.0,0.0,0.0,911.0
1648,Indonesia,1950.0,1.0,0.0,803.0
1649,Philippines,1950.0,13.0,0.0,1070.0
1650,Kyrgyzstan,1950.0,0.0,0.0,2841.0
1651,Tajikistan,1950.0,0.0,0.0,2841.0
1652,Japan,1950.0,126.0,17.0,1921.0
1653,Congo,1950.0,0.0,0.0,1198.0
1654,Switzerland,1950.0,50.0,10.0,9064.0
1655,Brazil,1950.0,33.0,3.0,1672.0
1656,Israel,1950.0,1.0,0.0,2817.0
1657,Uruguay,1950.0,21.0,8.0,4659.0
1658,Sweden,1950.0,128.0,21.0,6769.0
1659,Sri Lanka,1950.0,0.0,0.0,1253.0
1660,Armenia,1950.0,0.0,0.0,2841.0
1661,Ivory Coast,1950.0,0.0,0.0,1041.0
1662,Kenya,1950.0,10.0,0.0,651.0
1663,Benin,1950.0,0.0,0.0,1084.0
1664,United Kingdom,1950.0,231.0,31.0,6939.0
1665,Ghana,1950.0,0.0,0.0,1122.0
1666,Niger,1950.0,0.0,0.0,617.0
1667,Mali,1950.0,0.0,0.0,457.0
1668,Afghanistan,1950.0,0.0,0.0,645.0
1669,Poland,1950.0,314.0,22.0,2447.0
1670,Costa Rica,1950.0,0.0,0.0,1963.0
1671,Panama,1950.0,0.0,0.0,1916.0
1672,Slovenia,1950.0,0.0,0.0,2262.3066
1673,Guyana,1950.0,0.0,0.0,2533.0
1674,New Zealand,1950.0,16.0,4.0,8456.0
1675,Portugal,1950.0,30.0,0.0,2086.0
1676,Paraguay,1950.0,0.0,0.0,1584.0
1677,Angola,1950.0,0.0,0.0,1052.0
1678,Venezuela,1950.0,20.0,1.0,7462.0
1679,Colombia,1950.0,14.0,0.0,2153.0
1680,Bangladesh,1950.0,0.0,0.0,540.0
1681,Peru,1950.0,6.0,0.0,2308.0
1682,El Salvador,1950.0,0.0,0.0,1489.0
1683,Uganda,1950.0,0.0,0.0,687.0
1684,Honduras,1950.0,0.0,0.0,1313.0
1685,Ecuador,1950.0,0.0,0.0,1863.0
1686,Mauritius,1950.0,0.0,0.0,2490.0
1687,Czechia,1950.0,115.0,13.0,2629.231
1688,Luxembourg,1950.0,69.0,1.0,3846.0
